,user_id,vehicle_model,battery_capacity_kWh,charging_station_id,charging_station_location,charging_start,charging_end,charging_duration_hours,charging_cost_usd,time_of_day,day_of_week,vehicle_age_years,charger_type,user_type,vehicle_brand,ev_type,logo,state_id,state_name,lat,lng,type_of_current,voltage,connector_type,connector_image
21,23,BMW i3,75.0,140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,2.56282,14.8561,Afternoon,Saturday,4,DC Fast Charger,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
22,24,Tesla Model 3,100.0,326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,2.07143,38.4061,Morning,Friday,5,DC Fast Charger,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
23,25,Tesla Model 3,100.0,150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,0.957138,24.0375,Morning,Wednesday,4,Level 1,Long-Distance Traveler,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
24,26,Chevy Bolt,75.0,288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,3.60417,38.7632,Morning,Saturday,1,DC Fast Charger,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
25,27,Chevy Bolt,75.0,361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,3.65254,27.4483,Afternoon,Thursday,0,Level 1,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
26,28,Nissan Leaf,50.0,340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,1.54771,9.85583,Night,Sunday,0,Level 1,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
27,30,BMW i3,75.0,438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,3.15326,33.1321,Afternoon,Friday,0,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
28,32,BMW i3,100.0,58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,2.00766,17.0118,Evening,Wednesday,6,Level 1,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
29,33,BMW i3,100.0,198,New York,2024-01-02 08:00:00,2024-01-02 09:58:00,1.30693,26.4382,Evening,Monday,1,Level 2,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
30,34,Tesla Model 3,62.0,211,Houston,2024-01-02 09:00:00,2024-01-02 12:03:00,0.9991,18.0344,Afternoon,Monday,1,Level 2,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
31,35,Chevy Bolt,75.0,402,Houston,2024-01-02 10:00:00,2024-01-02 13:32:00,1.87358,35.503,Afternoon,Friday,2,DC Fast Charger,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
32,36,Hyundai Kona,75.0,390,New York,2024-01-02 11:00:00,2024-01-02 14:16:00,2.89168,29.8662,Evening,Tuesday,4,Level 1,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
33,37,Chevy Bolt,75.0,45,Chicago,2024-01-02 12:00:00,2024-01-02 15:10:00,3.47,15.8553,Evening,Thursday,1,DC Fast Charger,Casual Driver,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
34,38,Hyundai Kona,75.0,97,New York,2024-01-02 13:00:00,2024-01-02 13:43:00,1.04045,15.8827,Night,Wednesday,6,DC Fast Charger,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
35,39,Tesla Model 3,85.0,279,Los Angeles,2024-01-02 14:00:00,2024-01-02 15:25:00,1.28041,26.5057,Afternoon,Monday,7,Level 2,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
36,40,Nissan Leaf,100.0,23,Houston,2024-01-02 15:00:00,2024-01-02 16:50:00,3.24245,8.49857,Morning,Thursday,2,Level 2,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
37,41,BMW i3,79.7992,410,Los Angeles,2024-01-02 16:00:00,2024-01-02 18:58:00,1.96234,29.2224,Night,Sunday,2,Level 2,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
38,42,Tesla Model 3,100.0,461,Houston,2024-01-02 17:00:00,2024-01-02 18:15:00,2.39772,26.6197,Morning,Saturday,3,Level 2,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
39,43,BMW i3,85.0,391,Houston,2024-01-02 18:00:00,2024-01-02 20:53:00,1.37388,32.0421,Night,Saturday,4,Level 1,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
40,44,Nissan Leaf,48.7965,335,San Francisco,2024-01-02 19:00:00,2024-01-02 19:45:00,3.0302,6.36463,Afternoon,Friday,1,DC Fast Charger,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
41,46,Tesla Model 3,62.0,27,Los Angeles,2024-01-02 21:00:00,2024-01-02 22:53:00,3.87799,10.6089,Evening,Saturday,1,DC Fast Charger,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
42,47,Nissan Leaf,75.0,282,San Francisco,2024-01-02 22:00:00,2024-01-03 01:06:00,2.10512,19.0307,Night,Sunday,5,Level 1,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
43,48,Hyundai Kona,62.0,97,Chicago,2024-01-02 23:00:00,2024-01-02 23:37:00,1.63367,18.1318,Morning,Wednesday,0,Level 2,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
44,50,BMW i3,100.0,36,New York,2024-01-03 01:00:00,2024-01-03 03:40:00,2.20954,9.6441,Afternoon,Saturday,6,Level 2,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
45,51,BMW i3,85.0,109,San Francisco,2024-01-03 02:00:00,2024-01-03 02:48:00,0.512378,24.5019,Morning,Tuesday,3,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
46,52,BMW i3,50.0,55,Los Angeles,2024-01-03 03:00:00,2024-01-03 05:06:00,1.88926,28.1023,Morning,Saturday,3,Level 1,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
47,53,BMW i3,50.0,192,Chicago,2024-01-03 04:00:00,2024-01-03 05:35:00,3.3138,18.8496,Morning,Wednesday,0,Level 2,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
48,54,Hyundai Kona,62.0,219,Los Angeles,2024-01-03 05:00:00,2024-01-03 06:48:00,1.9113,34.0866,Night,Tuesday,5,DC Fast Charger,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
49,55,Chevy Bolt,100.0,185,Houston,2024-01-03 06:00:00,2024-01-03 07:55:00,3.31408,9.7985,Evening,Thursday,4,DC Fast Charger,Casual Driver,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
50,56,Tesla Model 3,76.8761,69,New York,2024-01-03 07:00:00,2024-01-03 09:33:00,1.67836,38.9419,Evening,Saturday,0,DC Fast Charger,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
51,57,BMW i3,69.8841,317,San Francisco,2024-01-03 08:00:00,2024-01-03 11:51:00,3.87345,30.1922,Evening,Wednesday,2,Level 2,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,37.7562,-122.443,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
52,58,Nissan Leaf,62.0,130,Houston,2024-01-03 09:00:00,2024-01-03 12:59:00,0.917902,28.3032,Afternoon,Saturday,3,DC Fast Charger,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
53,59,BMW i3,100.0,55,Chicago,2024-01-03 10:00:00,2024-01-03 12:59:00,1.28528,8.63782,Morning,Saturday,7,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
54,60,Nissan Leaf,100.0,378,Houston,2024-01-03 11:00:00,2024-01-03 12:15:00,2.41375,6.74473,Evening,Wednesday,5,Level 2,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
55,61,Nissan Leaf,62.0,97,Houston,2024-01-03 12:00:00,2024-01-03 14:22:00,2.0821,36.068,Evening,Tuesday,7,Level 1,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
56,62,BMW i3,75.0,336,Chicago,2024-01-03 13:00:00,2024-01-03 15:00:00,2.11789,30.0444,Morning,Monday,7,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
57,63,Hyundai Kona,124.316,87,Houston,2024-01-03 14:00:00,2024-01-03 16:50:00,0.650508,30.8642,Afternoon,Sunday,1,Level 2,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
58,64,Nissan Leaf,100.0,294,San Francisco,2024-01-03 15:00:00,2024-01-03 16:02:00,2.48209,24.6498,Night,Saturday,0,Level 1,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
59,65,Nissan Leaf,50.0,119,Los Angeles,2024-01-03 16:00:00,2024-01-03 18:42:00,2.12342,34.2283,Night,Friday,3,DC Fast Charger,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
